Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
ヴォメロ,東京都中央区銀座3-12-8 NKCビル 1F,食べログ 百名店: 2017 / ピザ,https://tabelog.com/tokyo/A1303/A130302/13139857/,https://tabelog.com/tokyo/A1301/A130101/13139857/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%83%B4%E3%82%A9%E3%83%A1%E3%83%AD%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A73-12-8%20NKC%E3%83%93%E3%83%AB%201F,35.6704566,139.7689499,2017,ピザ,pizza,
ラ ピッツァ ナポレターナ レガロ,大阪府大阪市福島区福島1-5-2 堀野ビル 1F,食べログ 百名店: 2017 / ピザ,https://tabelog.com/tokyo/A1303/A130302/27084799/,,https://www.google.com/maps/search/?api=1&query=%E3%83%A9%20%E3%83%94%E3%83%83%E3%83%84%E3%82%A1%20%E3%83%8A%E3%83%9D%E3%83%AC%E3%82%BF%E3%83%BC%E3%83%8A%20%E3%83%AC%E3%82%AC%E3%83%AD%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E7%A6%8F%E5%B3%B6%E5%8C%BA%E7%A6%8F%E5%B3%B61-5-2%20%E5%A0%80%E9%87%8E%E3%83%93%E3%83%AB%201F,34.6952369,135.4886938,2017,ピザ,pizza,
PIZZA BORSA,東京都豊島区西池袋3-30-8 渡辺ビル 1F,食べログ 百名店: 2017 / ピザ,https://tabelog.com/tokyo/A1303/A130302/13170403/,,https://www.google.com/maps/search/?api=1&query=PIZZA%20BORSA%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%B1%8A%E5%B3%B6%E5%8C%BA%E8%A5%BF%E6%B1%A0%E8%A2%8B3-30-8%20%E6%B8%A1%E8%BE%BA%E3%83%93%E3%83%AB%201F,35.7309837,139.7062049,2017,ピザ,pizza,
ピッツェリア　スペリアーモ！,神奈川県横浜市西区藤棚町1-121,食べログ 百名店: 2017 / ピザ,https://tabelog.com/tokyo/A1303/A130302/14002481/,,https://www.google.com/maps/search/?api=1&query=%E3%83%94%E3%83%83%E3%83%84%E3%82%A7%E3%83%AA%E3%82%A2%E3%80%80%E3%82%B9%E3%83%9A%E3%83%AA%E3%82%A2%E3%83%BC%E3%83%A2%EF%BC%81%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E8%A5%BF%E5%8C%BA%E8%97%A4%E6%A3%9A%E7%94%BA1-121,35.4513783,139.6117916,2017,ピザ,pizza,
エンボカ 東京,東京都渋谷区元代々木16-16,食べログ 百名店: 2017 / ピザ,https://tabelog.com/tokyo/A1303/A130302/13040937/,,https://www.google.com/maps/search/?api=1&query=%E3%82%A8%E3%83%B3%E3%83%9C%E3%82%AB%20%E6%9D%B1%E4%BA%AC%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E5%85%83%E4%BB%A3%E3%80%85%E6%9C%A816-16,35.6709690,139.6838950,2017,ピザ,pizza,
ピッツェリア エ トラットリア ダ・マサニエッロ,兵庫県宝塚市伊孑志1-8-20,食べログ 百名店: 2017 / ピザ,https://tabelog.com/tokyo/A1303/A130302/28031917/,,https://www.google.com/maps/search/?api=1&query=%E3%83%94%E3%83%83%E3%83%84%E3%82%A7%E3%83%AA%E3%82%A2%20%E3%82%A8%20%E3%83%88%E3%83%A9%E3%83%83%E3%83%88%E3%83%AA%E3%82%A2%20%E3%83%80%E3%83%BB%E3%83%9E%E3%82%B5%E3%83%8B%E3%82%A8%E3%83%83%E3%83%AD%20%E5%85%B5%E5%BA%AB%E7%9C%8C%E5%AE%9D%E5%A1%9A%E5%B8%82%E4%BC%8A%E5%AD%91%E5%BF%971-8-20,34.7980766,135.3543826,2017,ピザ,pizza,
シシリヤ,神奈川県横浜市中区相生町1-7 和同ビル　１Ｆ,食べログ 百名店: 2017 / ピザ,https://tabelog.com/tokyo/A1303/A130302/14001040/,,https://www.google.com/maps/search/?api=1&query=%E3%82%B7%E3%82%B7%E3%83%AA%E3%83%A4%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E4%B8%AD%E5%8C%BA%E7%9B%B8%E7%94%9F%E7%94%BA1-7%20%E5%92%8C%E5%90%8C%E3%83%93%E3%83%AB%E3%80%80%EF%BC%91%EF%BC%A6,35.4461362,139.6392761,2017,ピザ,pizza,
ピッツェリア ロマーナ ジャニコロ,東京都港区麻布十番2-8-8 渡邊ビルB1F,食べログ 百名店: 2017 / ピザ,https://tabelog.com/tokyo/A1303/A130302/13122753/,https://tabelog.com/tokyo/A1307/A130702/13122753/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%83%94%E3%83%83%E3%83%84%E3%82%A7%E3%83%AA%E3%82%A2%20%E3%83%AD%E3%83%9E%E3%83%BC%E3%83%8A%20%E3%82%B8%E3%83%A3%E3%83%8B%E3%82%B3%E3%83%AD%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E9%BA%BB%E5%B8%83%E5%8D%81%E7%95%AA2-8-8%20%E6%B8%A1%E9%82%8A%E3%83%93%E3%83%ABB1F,35.6554281,139.7348306,2017,ピザ,pizza,
パルテノペ 広尾店,東京都港区南麻布5-15-25 六幸館　１Ｆ,食べログ 百名店: 2017 / ピザ,https://tabelog.com/tokyo/A1303/A130302/13005525/,,https://www.google.com/maps/search/?api=1&query=%E3%83%91%E3%83%AB%E3%83%86%E3%83%8E%E3%83%9A%20%E5%BA%83%E5%B0%BE%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8D%97%E9%BA%BB%E5%B8%835-15-25%20%E5%85%AD%E5%B9%B8%E9%A4%A8%E3%80%80%EF%BC%91%EF%BC%A6,35.6518409,139.7224788,2017,ピザ,pizza,
SAKURAGUMI,兵庫県赤穂市御崎2-1,食べログ 百名店: 2017 / ピザ,https://tabelog.com/tokyo/A1303/A130302/28001438/,,https://www.google.com/maps/search/?api=1&query=SAKURAGUMI%20%E5%85%B5%E5%BA%AB%E7%9C%8C%E8%B5%A4%E7%A9%82%E5%B8%82%E5%BE%A1%E5%B4%8E2-1,34.7270971,134.4088662,2017,ピザ,pizza,
